question_id,correct_answer,has_image,num_repetitions,real_correct_count,real_accuracy,real_ci_lower,real_ci_upper,fake_correct_count,fake_accuracy,fake_ci_lower,fake_ci_upper
IT0006,C,True,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0
IT0007,C,True,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0
IT0031,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0032,B,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0053,C,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0054,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0063,C,True,1,0,0.0,0.0,0.0,1,1.0,1.0,1.0
IT0064,D,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0065,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0095,C,True,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0
IT0111,B,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0130,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0131,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0136,B,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0169,B,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0198,C,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0200,B,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0213,B,True,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0
IT0214,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0229,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0235,C,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0236,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0250,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0311,E,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0340,C,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0375,B,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0390,C,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0455,B,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0456,B,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0507,A,True,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0
IT0512,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0532,C,True,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0
IT0533,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0563,E,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0593,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0597,D,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0653,B,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0675,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0676,C,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0713,C,True,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0
IT0783,D,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0784,A,True,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0
IT0785,E,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0860,B,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0861,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0890,E,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0891,C,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0892,E,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0908,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0919,E,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0949,E,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT0972,E,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT1022,D,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT1023,A,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT1044,C,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT1053,C,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
IT1100,D,True,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0
IT1113,C,True,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0
IT1114,A,True,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0
IT1118,D,True,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0
